Ruolo,Calciatore,Squadra,Costo
A,TEVEZ,JUVENTUS,"34,3"
A,HIGUAIN,NAPOLI,"33,5"
A,DI NATALE,UDINESE,"32,2"
A,ROSSI,FIORENTINA,"32,1"
A,GOMEZ M.,FIORENTINA,"28,0"
A,PALACIO,INTER,"27,2"
A,BERARDI,SASSUOLO,"26,8"
A,LLORENTE,JUVENTUS,"26,7"
A,CALLEJON,NAPOLI,"26,4"
A,TONI,VERONA,"26,3"
A,GERVINHO,ROMA,"25,8"
A,DESTRO,ROMA,"24,6"
A,ICARDI,INTER,"24,1"
A,TOTTI,ROMA,"23,8"
A,TORRES,MILAN,"23,6"
A,CASSANO,PARMA,"23,0"
C,MERTENS,NAPOLI,"22,8"
A,EL SHAARAWY,MILAN,"22,7"
A,DENIS,ATALANTA,"22,1"
C,CUADRADO,FIORENTINA,"22,0"
A,SAU,CAGLIARI,"21,2"
A,ITURBE,ROMA,"21,2"
A,QUAGLIARELLA,TORINO,"20,8"
A,EDER,SAMPDORIA,"20,3"
A,PALOSCHI,CHIEVO,"20,2"
A,MORATA,JUVENTUS,"20,0"
C,VIDAL,JUVENTUS,"20,0"
A,GABBIADINI,SAMPDORIA,"19,8"
A,ZAZA,SASSUOLO,"19,8"
A,MATRI,GENOA,"19,4"
C,BORJA VALERO,FIORENTINA,"19,4"
A,KLOSE,LAZIO,"19,2"
C,HAMSIK,NAPOLI,"19,0"
C,POGBA,JUVENTUS,"18,7"
A,PAZZINI,MILAN,"18,7"
A,KEITA B.,LAZIO,"18,7"
A,MURIEL,UDINESE,"18,5"
A,BERGESSIO,SAMPDORIA,"18,4"
C,MENEZ,MILAN,"18,4"
C,PJANIC,ROMA,"18,2"
P,HANDANOVIC,INTER,"18,1"
A,OSVALDO,INTER,"18,0"
A,DYBALA,PALERMO,"17,7"
A,DJORDJEVIC,LAZIO,"17,6"
C,CANDREVA,LAZIO,"17,6"
P,DE SANCTIS,ROMA,"17,4"
P,BUFFON,JUVENTUS,"17,2"
A,BELOTTI,PALERMO,"16,8"
A,THEREAU,UDINESE,"16,7"
C,STROOTMAN,ROMA,"16,6"
A,OKAKA,SAMPDORIA,"16,6"
A,MICHU,NAPOLI,"16,5"
C,HERNANES,INTER,"16,5"
A,SAVIOLA,VERONA,"16,4"
A,PINILLA,GENOA,"16,3"
A,LJAJIC,ROMA,"16,3"
A,AMAURI,TORINO,"16,2"
C,MARCHISIO,JUVENTUS,"16,2"
C,PIRLO,JUVENTUS,"16,2"
D,LICHTSTEINER,JUVENTUS,"16,1"
C,BONAVENTURA,MILAN,"15,8"
A,TAVANO,EMPOLI,"15,7"
D,CHIELLINI,JUVENTUS,"15,7"
C,NAINGGOLAN,ROMA,"15,7"
C,FLORENZI,ROMA,"15,6"
A,SANSONE N.,SASSUOLO,"15,6"
A,IBARBO,CAGLIARI,"15,6"
C,AQUILANI,FIORENTINA,"15,5"
P,RAFAEL CABRAL,NAPOLI,"15,5"
P,DIEGO LOPEZ,MILAN,"15,4"
D,MAICON,ROMA,"15,2"
A,MACCARONE,EMPOLI,"14,8"
C,JORGINHO,NAPOLI,"14,7"
A,INSIGNE,NAPOLI,"14,6"
A,JUANITO GOMEZ,VERONA,"14,5"
D,BARZAGLI,JUVENTUS,"14,5"
C,GOMEZ A.,ATALANTA,"14,4"
C,BIABIANY,PARMA,"14,3"
A,FLORO FLORES,SASSUOLO,"14,3"
A,NENE',VERONA,"14,1"
C,ILICIC,FIORENTINA,"14,1"
A,MAXI LOPEZ,CHIEVO,"14,0"
A,GIOVINCO,JUVENTUS,"14,0"
A,FLOCCARI,SASSUOLO,"13,8"
P,MIRANTE,PARMA,"13,7"
D,RODRIGUEZ GO.,FIORENTINA,"13,7"
C,LULIC,LAZIO,"13,6"
D,BASTA,LAZIO,"13,5"
C,MORALEZ,ATALANTA,"13,5"
A,MARILUNGO,CESENA,"13,4"
A,ZAPATA D.,NAPOLI,"13,4"
A,BORRIELLO,ROMA,"13,4"
A,BELFODIL,PARMA,"13,3"
A,LONGO,CAGLIARI,"13,3"
P,NETO,FIORENTINA,"13,3"
D,ALEX,MILAN,"13,3"
D,NAGATOMO,INTER,"13,2"
A,BABACAR,FIORENTINA,"13,2"
A,MAKIENOK,PALERMO,"13,2"
C,BRUNO FERNANDES,UDINESE,"13,1"
C,DE ROSSI,ROMA,"13,1"
A,SANSONE G.,SAMPDORIA,"13,1"
C,PAROLO,LAZIO,"13,0"
D,PASQUAL,FIORENTINA,"12,8"
A,MARTINEZ,TORINO,"12,8"
C,LESTIENNE,GENOA,"12,7"
P,MARCHETTI,LAZIO,"12,7"
A,PALLADINO,PARMA,"12,6"
C,EL KADDOURI,TORINO,"12,4"
P,ABBIATI,MILAN,"12,4"
P,PERIN,GENOA,"12,4"
